,type,encoder_layer_sizes,learning_rate,learning_rate_classifier,activation,optimizer,criterion,epochs,F1,Accuracy,Recall,Precision
33,autoencoder,"[64, 32, 16]",0.05,0.001,ReLU(),Adam,MSELoss,200,0.0,0.8699704887353343,0.0,0.0
34,autoencoder,"[64, 32, 16]",0.05,0.005,LeakyReLU(negative_slope=0.01),Adam,MSELoss,200,0.23013471766616772,0.13002951126466566,1.0,0.13002951126466566
35,autoencoder,"[64, 32, 16]",0.05,0.005,ReLU(),Adam,MSELoss,200,0.0,0.8699704887353343,0.0,0.0
36,autoencoder,"[128, 64, 32]",0.001,0.0005,LeakyReLU(negative_slope=0.01),Adam,MSELoss,200,0.0027639579878385853,0.8701504354711006,0.0013838915029061722,1.0
37,autoencoder,"[128, 64, 32]",0.001,0.0005,ReLU(),Adam,MSELoss,200,0.0,0.8699704887353343,0.0,0.0
38,autoencoder,"[128, 64, 32]",0.001,0.001,LeakyReLU(negative_slope=0.01),Adam,MSELoss,200,0.4477301124531446,0.9045562513496005,0.297536673124827,0.904121110176619
39,autoencoder,"[128, 64, 32]",0.001,0.001,ReLU(),Adam,MSELoss,200,0.0,0.8699704887353343,0.0,0.0
40,autoencoder,"[128, 64, 32]",0.001,0.005,LeakyReLU(negative_slope=0.01),Adam,MSELoss,200,0.0,0.8699704887353343,0.0,0.0
41,autoencoder,"[128, 64, 32]",0.001,0.005,ReLU(),Adam,MSELoss,200,0.0,0.8699704887353343,0.0,0.0
42,autoencoder,"[128, 64, 32]",0.01,0.0005,LeakyReLU(negative_slope=0.01),Adam,MSELoss,200,0.4360721442885772,0.8987259771107752,0.30113479103238305,0.7901234567901234
43,autoencoder,"[128, 64, 32]",0.01,0.0005,ReLU(),Adam,MSELoss,200,0.3325981473312748,0.8910962355142877,0.20869083863825075,0.8186753528773073
44,autoencoder,"[128, 64, 32]",0.01,0.001,LeakyReLU(negative_slope=0.01),Adam,MSELoss,200,0.22730296981793988,0.5402360901173253,0.5200664267921395,0.14543343653250773
45,autoencoder,"[128, 64, 32]",0.01,0.001,ReLU(),Adam,MSELoss,200,0.4065343258891646,0.8967105736701936,0.27207306947135346,0.803761242845462
46,autoencoder,"[128, 64, 32]",0.01,0.005,LeakyReLU(negative_slope=0.01),Adam,MSELoss,200,0.2388408185688779,0.20218815230691714,0.9626349294215334,0.13633334639959233
47,autoencoder,"[128, 64, 32]",0.01,0.005,ReLU(),Adam,MSELoss,200,0.5288764438221911,0.9031166774634708,0.4182120121782452,0.7191813422179915
48,autoencoder,"[128, 64, 32]",0.05,0.0005,LeakyReLU(negative_slope=0.01),Adam,MSELoss,200,0.0,0.8699704887353343,0.0,0.0
49,autoencoder,"[128, 64, 32]",0.05,0.0005,ReLU(),Adam,MSELoss,200,0.0,0.8699704887353343,0.0,0.0
50,autoencoder,"[128, 64, 32]",0.05,0.001,LeakyReLU(negative_slope=0.01),Adam,MSELoss,200,0.0,0.8699704887353343,0.0,0.0
51,autoencoder,"[128, 64, 32]",0.05,0.001,ReLU(),Adam,MSELoss,200,0.0,0.8699704887353343,0.0,0.0
52,autoencoder,"[128, 64, 32]",0.05,0.005,LeakyReLU(negative_slope=0.01),Adam,MSELoss,200,0.23013471766616772,0.13002951126466566,1.0,0.13002951126466566
53,autoencoder,"[128, 64, 32]",0.05,0.005,ReLU(),Adam,MSELoss,200,0.0,0.8699704887353343,0.0,0.0
