,type,encoder_layer_sizes,learning_rate,learning_rate_classifier,activation,optimizer,criterion,epochs,F1,Accuracy,Recall,Precision
0,autoencoder,"[128, 64, 32]",0.01,0.001,LeakyReLU(negative_slope=0.01),Adam,MSELoss,300,0.0006049606775559588,0.8810911970056863,0.000302571860816944,1.0
1,autoencoder,"[128, 64, 32]",0.01,0.005,LeakyReLU(negative_slope=0.01),Adam,MSELoss,300,0.04008132442637235,0.8810552076585331,0.020877458396369137,0.5
